tag,value,feature_type,filter_outdoor,comments,filter_lit,final_filtered,cleaning_comments
golf,driving_range,POLYGON,0,,0,0,
golf,tee,POLYGON,0,,0,0,
golf,rough,POLYGON,0,,0,0,
golf,green,POLYGON,0,,0,0,
golf,fairway,POLYGON,0,,0,0,
landuse,forest,POLYGON,1,only sg intersections,1,0,marks trees in urban areas as forests not accessible so don't include
landuse,cemetery,POLYGON,1,,1,1,
landuse,recreation_ground,POLYGON,1,,1,1,
landuse,meadow,POLYGON,1,only sg intersections,1,0,"check with other datasets; don't include as it includes barren lands(with no grass) in urban areas, large cleared out patches in hilly terrain, and barren lands in airports"
landuse,grass,POLYGON,1,only sg intersections,0,0,contains all grass even patches along the roads
natural,wetland,POLYGON,0,,1,0,not accessible or rec related
landuse,allotments,POLYGON,0,,1,1,"contains some community gardens. Check with other datasets. Filter only those features that contain ""garden"" in their name. If not many barren lands will be included."
natural,grassland,POLYGON,0,,1,1,
landuse,greenfield,POLYGON,0,,1,0,not applicable / only 2 features and not realted to anything of grass or greenfield
natural,scrub,POLYGON,0,,1,0,captures all lands on the side of highways
landuse,village_green,POLYGON,0,,1,0,"""Not a generic tag for urban greenery"" as per osm features discription"
landuse,greenhouse_horticulture,POLYGON,0,,0,0,
landuse,basin,POLYGON,0,,0,0,
landuse,residential,POLYGON,0,,0,0,
landuse,plant_nursery,POLYGON,0,,1,0,very small area features not rec related
landuse,commercial,POLYGON,0,,0,0,
landuse,orchard,POLYGON,0,,1,1,
landuse,farmland,POLYGON,0,,1,0,not rec related
landuse,industrial,POLYGON,0,,0,0,
landuse,farmyard,POLYGON,0,,1,0,not rec related
landuse,flowerbed,POLYGON,0,,0,0,
landuse,quarry,POLYGON,0,,0,0,
leisure,pitch,POLYGON,1,,0,1,
leisure,park,POLYGON,1,,1,1,
leisure,playground,POLYGON,1,,1,1,
leisure,golf_course,POLYGON,1,,1,1,
leisure,fishing,POLYGON,0,,0,0,
leisure,nature_reserve,POLYGON,1,,1,1,
leisure,garden,POLYGON,1,,1,1,
leisure,dog_park,POLYGON,1,,1,1,
leisure,sports_centre,POLYGON,1,should remove if it was building,0,1,should remove if it was building
leisure,track,POLYGON,1,needs buffer,0,1,needs buffer
leisure,water_park,POLYGON,0,,0,0,
leisure,sledding_hill,POLYGON,0,,0,0,
leisure,horse_riding,POLYGON,0,,0,0,
leisure,fitness_station,POLYGON,0,,0,0,
leisure,swimming_pool,POLYGON,0,,0,0,
sport,american_football,POLYGON,0,,0,0,
sport,tennis,POLYGON,0,,0,0,
sport,soccer,POLYGON,0,,0,0,
sport,baseball,POLYGON,0,,0,0,
sport,softball,POLYGON,0,,0,0,
sport,football,POLYGON,0,,0,0,
sport,multi,POLYGON,0,,0,0,
sport,hockey,POLYGON,0,,0,0,
sport,basketball,POLYGON,0,,0,0,
sport,beachvolleyball,POLYGON,0,,0,0,
sport,skateboard,POLYGON,0,,0,0,
sport,football;soccer;lacrosse;field_hockey,POLYGON,0,,0,0,
sport,racquet,POLYGON,0,,0,0,
sport,skateboard;bmx;roller_skating,POLYGON,0,,0,0,
sport,volleyball,POLYGON,0,,0,0,
sport,swimming,POLYGON,0,,0,0,
sport,equestrian,POLYGON,0,,0,0,
sport,golf,POLYGON,1,,1,1,
sport,lacrosse,POLYGON,0,,0,0,
sport,field_hockey,POLYGON,0,,0,0,
sport,running,POLYGON,0,,0,0,
sport,cricket,POLYGON,0,this and all the ones below are already coverd by higher polygons,0,0,
sport,chess,POLYGON,0,,0,0,
sport,boules,POLYGON,0,,0,0,
sport,soccer;american_football;lacrosse;field_hockey,POLYGON,0,,0,0,
sport,shot-put;Discus_throw,POLYGON,0,,0,0,
sport,pickleball,POLYGON,0,,0,0,
sport,shot_put,POLYGON,0,,0,0,
sport,athletics,POLYGON,0,,0,0,
sport,horseshoes,POLYGON,0,,0,0,
sport,gaga,POLYGON,0,,0,0,
sport,four_square,POLYGON,0,,0,0,
sport,horse_racing,POLYGON,0,,0,0,
sport,bmx,POLYGON,0,,0,0,
highway,cycleway,POLYLINE,1,,1,1,"subset only features that contain the word ""trail"" in name"
highway,bridleway,POLYLINE,0,,1,1,"subset only features that contain the word ""trail"" in name"
route,bicycle,POLYLINE,1,,0,1,"subset only features that contain the word ""trail"" in name"
highway,path,POLYLINE,1,,0,1,"subset only features that contain the word ""trail"" in name"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,green,,,,,,
,,,,,,,
,fairway,,,,,,
